trust_level,run,peak_exposed,peak_infected,final_recovered
0.5,1,14,23,91
0.5,2,11,18,73
0.5,3,11,20,87
0.5,4,13,21,83
0.5,5,11,17,88
0.5,6,10,18,84
0.5,7,11,23,96
0.5,8,12,14,81
0.5,9,11,20,92
0.5,10,15,21,86
0.5,11,11,19,92
0.5,12,13,19,82
0.5,13,13,21,83
0.5,14,14,20,96
0.5,15,13,19,89
0.5,16,14,17,84
0.5,17,11,20,89
0.5,18,11,18,85
0.5,19,12,19,70
0.5,20,11,18,88
0.5,21,12,15,84
0.5,22,13,24,95
0.5,23,12,21,90
0.5,24,15,20,93
0.5,25,12,19,73
0.5,26,13,22,94
0.5,27,12,17,87
0.5,28,13,20,92
0.5,29,13,19,90
0.5,30,12,19,75
0.5,31,15,22,97
0.5,32,13,20,96
0.5,33,16,19,83
0.5,34,11,21,81
0.5,35,9,16,73
0.5,36,11,18,84
0.5,37,11,24,92
0.5,38,13,23,86
0.5,39,15,19,97
0.5,40,14,19,86
0.5,41,14,20,95
0.5,42,11,18,86
0.5,43,13,20,90
0.5,44,12,19,88
0.5,45,11,19,86
0.5,46,12,19,81
0.5,47,12,18,81
0.5,48,12,19,97
0.5,49,12,19,86
0.5,50,12,17,96
0.5,51,11,18,82
0.5,52,12,18,81
0.5,53,10,22,72
0.5,54,11,18,93
0.5,55,12,17,96
0.5,56,12,18,90
0.5,57,10,20,81
0.5,58,11,21,71
0.5,59,14,20,94
0.5,60,10,17,92
0.5,61,12,24,97
0.5,62,10,18,88
0.5,63,13,18,95
0.5,64,11,17,81
0.5,65,11,20,91
0.5,66,12,19,76
0.5,67,10,18,91
0.5,68,11,18,82
0.5,69,12,19,77
0.5,70,12,20,94
0.5,71,17,20,78
0.5,72,11,17,81
0.5,73,11,19,97
0.5,74,12,23,93
0.5,75,15,23,88
0.5,76,13,19,94
0.5,77,14,22,79
0.5,78,13,22,84
0.5,79,12,20,86
0.5,80,10,16,66
0.5,81,12,19,92
0.5,82,11,21,96
0.5,83,10,18,76
0.5,84,12,19,99
0.5,85,10,18,88
0.5,86,11,18,86
0.5,87,12,18,93
0.5,88,11,19,82
0.5,89,14,22,78
0.5,90,11,17,77
0.5,91,13,22,73
0.5,92,12,20,86
0.5,93,10,15,87
0.5,94,11,18,82
0.5,95,11,19,90
0.5,96,14,20,90
0.5,97,10,18,86
0.5,98,11,18,85
0.5,99,13,19,90
0.5,100,14,18,90
0.7,1,12,24,99
0.7,2,15,25,100
0.7,3,14,22,100
0.7,4,16,23,98
0.7,5,13,23,100
0.7,6,16,27,100
0.7,7,16,32,100
0.7,8,14,24,100
0.7,9,15,24,99
0.7,10,13,22,100
0.7,11,14,23,99
0.7,12,15,29,95
0.7,13,14,23,96
0.7,14,17,27,94
0.7,15,18,25,97
0.7,16,14,23,100
0.7,17,15,25,100
0.7,18,13,24,99
0.7,19,18,23,73
0.7,20,17,24,100
0.7,21,16,24,98
0.7,22,14,24,100
0.7,23,15,26,100
0.7,24,13,21,86
0.7,25,13,19,96
0.7,26,17,29,100
0.7,27,16,24,100
0.7,28,15,22,99
0.7,29,14,20,99
0.7,30,15,24,96
0.7,31,15,24,94
0.7,32,16,25,93
0.7,33,15,27,99
0.7,34,15,26,100
0.7,35,13,26,100
0.7,36,15,26,100
0.7,37,20,27,100
0.7,38,15,27,100
0.7,39,19,30,100
0.7,40,16,28,100
0.7,41,16,23,100
0.7,42,15,23,95
0.7,43,14,26,100
0.7,44,13,23,100
0.7,45,14,22,100
0.7,46,13,23,100
0.7,47,16,22,100
0.7,48,14,24,100
0.7,49,15,27,97
0.7,50,15,22,94
0.7,51,14,25,98
0.7,52,14,25,100
0.7,53,13,21,100
0.7,54,15,27,98
0.7,55,15,23,100
0.7,56,16,28,99
0.7,57,13,24,99
0.7,58,13,21,99
0.7,59,15,22,84
0.7,60,16,21,94
0.7,61,13,23,100
0.7,62,14,22,98
0.7,63,15,24,100
0.7,64,17,25,100
0.7,65,16,24,100
0.7,66,14,25,99
0.7,67,14,26,100
0.7,68,16,27,100
0.7,69,14,22,99
0.7,70,15,26,100
0.7,71,16,22,99
0.7,72,15,26,99
0.7,73,14,20,94
0.7,74,14,22,100
0.7,75,17,25,100
0.7,76,13,23,100
0.7,77,13,23,98
0.7,78,17,24,100
0.7,79,15,26,100
0.7,80,12,26,99
0.7,81,14,24,100
0.7,82,17,26,100
0.7,83,18,26,100
0.7,84,16,22,100
0.7,85,17,27,99
0.7,86,16,24,99
0.7,87,15,25,99
0.7,88,16,27,99
0.7,89,15,27,95
0.7,90,13,24,100
0.7,91,15,22,100
0.7,92,16,25,99
0.7,93,15,23,85
0.7,94,13,22,100
0.7,95,15,24,81
0.7,96,17,21,98
0.7,97,17,23,95
0.7,98,19,27,100
0.7,99,13,24,97
0.7,100,16,24,99
0.9,1,18,26,100
0.9,2,19,30,100
0.9,3,17,32,100
0.9,4,18,25,100
0.9,5,22,37,100
0.9,6,18,28,100
0.9,7,18,30,100
0.9,8,18,31,100
0.9,9,18,27,100
0.9,10,20,28,100
0.9,11,17,32,100
0.9,12,15,27,100
0.9,13,17,30,100
0.9,14,18,31,100
0.9,15,19,30,100
0.9,16,17,26,100
0.9,17,17,31,100
0.9,18,17,29,100
0.9,19,15,27,100
0.9,20,17,29,100
0.9,21,23,34,100
0.9,22,17,30,100
0.9,23,18,31,100
0.9,24,14,25,100
0.9,25,16,30,100
0.9,26,20,29,100
0.9,27,15,32,100
0.9,28,16,29,100
0.9,29,16,32,100
0.9,30,17,25,100
0.9,31,16,27,100
0.9,32,20,29,100
0.9,33,22,29,100
0.9,34,18,28,100
0.9,35,21,32,100
0.9,36,17,30,100
0.9,37,18,28,100
0.9,38,16,27,99
0.9,39,17,29,99
0.9,40,17,29,100
0.9,41,20,36,100
0.9,42,17,30,100
0.9,43,16,26,100
0.9,44,16,32,100
0.9,45,20,29,100
0.9,46,20,26,100
0.9,47,19,29,100
0.9,48,16,26,100
0.9,49,18,25,100
0.9,50,20,30,100
0.9,51,18,29,100
0.9,52,22,32,100
0.9,53,16,29,100
0.9,54,16,28,100
0.9,55,15,28,100
0.9,56,18,33,100
0.9,57,19,29,99
0.9,58,19,30,100
0.9,59,18,28,100
0.9,60,20,30,100
0.9,61,19,28,100
0.9,62,14,28,100
0.9,63,14,28,100
0.9,64,16,26,100
0.9,65,18,24,100
0.9,66,18,27,100
0.9,67,21,34,100
0.9,68,22,32,100
0.9,69,23,30,100
0.9,70,16,31,100
0.9,71,19,29,100
0.9,72,20,34,100
0.9,73,19,29,100
0.9,74,17,27,100
0.9,75,18,28,98
0.9,76,17,30,100
0.9,77,19,29,100
0.9,78,16,32,100
0.9,79,18,27,100
0.9,80,17,27,100
0.9,81,16,25,100
0.9,82,19,30,100
0.9,83,17,27,100
0.9,84,19,30,100
0.9,85,16,34,100
0.9,86,18,30,98
0.9,87,16,27,99
0.9,88,16,28,100
0.9,89,20,25,100
0.9,90,17,29,99
0.9,91,14,27,100
0.9,92,19,34,99
0.9,93,18,34,100
0.9,94,16,28,100
0.9,95,15,27,98
0.9,96,16,27,100
0.9,97,18,37,81
0.9,98,15,27,100
0.9,99,17,29,100
0.9,100,18,27,84
